X;Y;NUMERO_REGISTRO;NOMBRE;DIRECCION;PISO;NUMERO_EXPEDIENTE;CAPACIDAD;CLASE;ESTADO;DISPOSICION;FECHA_DISP_INSCRIPCION;NUMERO_DIPS;FECHA_DISP_RE_INSCRIPCION;NUMERO_DISP_DE_RECHAZO;FECHA_DISPOSICION_DE_RECHAZO;NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD;FECHA_DISPOSICION_DE_CAPACIDAD;FECHA_DE_ENTREGA_NUEVA_REVALIDA;VENCIMIENTO;ESTADO_OBESERVACIONES;NOTIFICADO;FECHA_ENVIO;FECHA_DE_NOTIFICACION
-58.36383620000000;-34.601494299999999;95;ACQUA LOUNGE;MANSO JUANA 305;PLANTA BAJA;19740/07;214;CC;INSCRIPCION VENCIDA;101;06/12/2007;25;06/03/2014; ; ;101;06/12/2007;11/06/2015;20/07/2015;INSCRIPCION VENCIDA; ; ; 
-58,3923923474375;-34.588427813886099;155;AFRIKA;JUNIN 1787; ;16728237/17;250;C;INSCRIPCION 2017;79;17/08/2017; ; ; ; ;79;17/08/2017;22/08/2017;03/10/2017; ; ; ; 
-58.42355760000000;-34.598689800000002;62;AMERIKA;GASCON 1036; ;10601/05;2450;C;RENOVADO 2017;84;14/07/2005;84;06/09/2017; ; ;158;20/12/2012;09/08/2017;10/11/2017; ; ; ; 
-58.46987260000000;-34.629936800000003;37;AMNESIA;NAZCA AV. 55; ;10617/05;778;CC;RENOVADO 2016;120;20/10/2010;100;20/10/2016; ; ;91;09/10/2007;27/10/2016;27/01/2017; ; ; ; 
-58.39811490000000;-34.601095999999998;41;ANGEL´S DISCO;VIAMONTE 2168; ;11627/05;425;C;INSCRIPCION VENCIDA;44;22/03/2005;46;31/03/2016; ; ;92;29/07/2005;18/01/2017;21/04/2017;INSCRIPCION VENCIDA; ; ; 
-58.47166130000000;-34.631147499999997;70;ASBURY ROCK;RIVADAVIA AV. 7523; ;36839/05;216;CC;RENOVADO 2017;12;21/02/2006;3;20/01/2017; ; ;12;21/02/2006;21/12/2016;15/03/2017; ; ; ; 
-58.36403709999999;-34.605938500000001;22;ASIA DE CUBA;COSSETTINI, OLGA 751; ;10642/05;622;C;RENOVADO 2017;25;10/03/2005;16;22/02/2017; ; ;57;23/04/2007;28/09/2017;30/12/2017; ; ; ; 
-58.41223389999999;-34.604181199999999;15;AZUCAR ABASTO;CORRIENTES AV. 3328; ;12571/05;622;C;BAJA INSC: DISP. 02/14 CONJUNTA;16;03/03/2005;116;25/06/2013; ; ;88;23/06/2006; ; ; ; ; ; 
-58.45630239999999;-34.562676600000003;30;AZUCAR BELGRANO;CABILDO AV. 2040; ;10832/05;521;C;BAJA INSC: DISP. CONJUNTA NRO 47/2010;33;16/03/2005;114;18/12/2009; ; ;90;14/09/2007; ; ; ; ; ; 
-58.42577399999999;-34.596613599999998;145;AZUCAR PALERMO;CORDOBA AV. 4175; ;11847816/14;350;C;RENOVADO 2017;63;19/06/2015;72;01/08/2017; ; ;63;19/06/2015;10/08/2017;10/11/2017; ; ; ; 
-58.37174240000000;-34.601951900000003;5;BAHREIN;LAVALLE 343; ;11114/05;880;C;RENOVADO 2017;6;01/03/2005;10;08/02/2017; ; ;95;06/11/2007;27/09/2017;30/12/2017; ; ; ; 
-58.50380919999999;-34.564252199999999;6;BELLA ROMA;YRURTIA, ROGELIO 6020; ;10615/05;900;C;SUSPENDIDO DISP. 108/09 CONJUNTA;7;02/03/2005;73;25/06/2009; ; ;86;23/06/2006; ; ; ; ; ; 
-58.47016440000000;-34.630958900000003;29;BELLAKEO NIGHT;RIVADAVIA AV. 7428; ;10581/05;1260;C;RENOVADO 2017;32;15/03/2005;58;09/06/2017; ; ;35;17/03/2006;12/05/2016;15/06/2016; ; ; ; 
-58.43542500000000;-34.5860135;133;BK;JUSTO, JUAN B. AV. 1574; ;407626/12;961;C;RENOVADO 2017;33;09/03/2012;45;23/03/2017; ; ;49;27/03/2014;28/09/2017;30/12/2017; ; ; ; 
-58.38934669999999;-34.5877762;93;BLACK;AYACUCHO 1981; ;28278/07;210;CC;BAJA INSCRIPCION DISP NRO 64/2013;88;31/08/2007;115;27/08/2012; ; ;88;31/08/2007; ; ; ; ; ; 
-58.4364318578149;-34.5855565142495;149;BLACK CLUB;GORRITI 5516; ;EE21483457/;205;CC;RENOVADO 2017;92;23/10/2016;87;22/09/2017; ; ;92;23/10/2016; ; ; ; ; ; 
-58.4401674;-34.586044700000002;104;BLOW;VEGA, NICETO, CNEL. AV. 5699; ;1965/09;333;CC;RENOVADO 2016;47;01/04/2009;117;23/12/2016; ; ;47;01/04/2009;23/08/2017;21/11/2017; ; ; ; 
